Format Version,1.23,Take Name,Calibration Ground Plane_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-01-05 02.08.46.118 ,Capture Start Frame,1203290,Total Frames in Take,1623,Total Exported Frames,1623,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker8","RigidBody:Marker8","RigidBody:Marker8","RigidBody:Marker8","RigidBody:Marker9","RigidBody:Marker9","RigidBody:Marker9","RigidBody:Marker9","RigidBody:Marker10","RigidBody:Marker10","RigidBody:Marker10","RigidBody:Marker10",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker10,RigidBody:Marker10,RigidBody:Marker10,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker8,RigidBody:Marker8,RigidBody:Marker8,RigidBody:Marker9,RigidBody:Marker9,RigidBody:Marker9,Unlabeled 20029,Unlabeled 20029,Unlabeled 20029,Unlabeled 20030,Unlabeled 20030,Unlabeled 20030,Unlabeled 20031,Unlabeled 20031,Unlabeled 20031,Unlabeled 20032,Unlabeled 20032,Unlabeled 20032,Unlabeled 20033,Unlabeled 20033,Unlabeled 20033,Unlabeled 20034,Unlabeled 20034,Unlabeled 20034,Unlabeled 20035,Unlabeled 20035,Unlabeled 20035,Unlabeled 20036,Unlabeled 20036,Unlabeled 20036,Unlabeled 20037,Unlabeled 20037,Unlabeled 20037,Unlabeled 20038,Unlabeled 20038,Unlabeled 20038,Unlabeled 20044,Unlabeled 20044,Unlabeled 20044,Unlabeled 20045,Unlabeled 20045,Unlabeled 20045,Unlabeled 20049,Unlabeled 20049,Unlabeled 20049,Unlabeled 20050,Unlabeled 20050,Unlabeled 20050,Unlabeled 20052,Unlabeled 20052,Unlabeled 20052,Unlabeled 20053,Unlabeled 20053,Unlabeled 20053,Unlabeled 20054,Unlabeled 20054,Unlabeled 20054,Unlabeled 20058,Unlabeled 20058,Unlabeled 20058,Unlabeled 20061,Unlabeled 20061,Unlabeled 20061,Unlabeled 20063,Unlabeled 20063,Unlabeled 20063,Unlabeled 20064,Unlabeled 20064,Unlabeled 20064,Unlabeled 20066,Unlabeled 20066,Unlabeled 20066,Unlabeled 20069,Unlabeled 20069,Unlabeled 20069,Unlabeled 20070,Unlabeled 20070,Unlabeled 20070,Unlabeled 20072,Unlabeled 20072,Unlabeled 20072,Unlabeled 20073,Unlabeled 20073,Unlabeled 20073,Unlabeled 20075,Unlabeled 20075,Unlabeled 20075,Unlabeled 20077,Unlabeled 20077,Unlabeled 20077,Unlabeled 20078,Unlabeled 20078,Unlabeled 20078,Unlabeled 20079,Unlabeled 20079,Unlabeled 20079,Unlabeled 20081,Unlabeled 20081,Unlabeled 20081,Unlabeled 20082,Unlabeled 20082,Unlabeled 20082,Unlabeled 20086,Unlabeled 20086,Unlabeled 20086,Unlabeled 20087,Unlabeled 20087,Unlabeled 20087,Unlabeled 20088,Unlabeled 20088,Unlabeled 20088,Unlabeled 20090,Unlabeled 20090,Unlabeled 20090,Unlabeled 20091,Unlabeled 20091,Unlabeled 20091,Unlabeled 20093,Unlabeled 20093,Unlabeled 20093,Unlabeled 20094,Unlabeled 20094,Unlabeled 20094,Unlabeled 20096,Unlabeled 20096,Unlabeled 20096,Unlabeled 20097,Unlabeled 20097,Unlabeled 20097,Unlabeled 20099,Unlabeled 20099,Unlabeled 20099,Unlabeled 20100,Unlabeled 20100,Unlabeled 20100,Unlabeled 20103,Unlabeled 20103,Unlabeled 20103,Unlabeled 20104,Unlabeled 20104,Unlabeled 20104,Unlabeled 20109,Unlabeled 20109,Unlabeled 20109,Unlabeled 20115,Unlabeled 20115,Unlabeled 20115,Unlabeled 20117,Unlabeled 20117,Unlabeled 20117,Unlabeled 20118,Unlabeled 20118,Unlabeled 20118,Unlabeled 20119,Unlabeled 20119,Unlabeled 20119,Unlabeled 20120,Unlabeled 20120,Unlabeled 20120,Unlabeled 20121,Unlabeled 20121,Unlabeled 20121,Unlabeled 20123,Unlabeled 20123,Unlabeled 20123,Unlabeled 20125,Unlabeled 20125,Unlabeled 20125,Unlabeled 20126,Unlabeled 20126,Unlabeled 20126,Unlabeled 20127,Unlabeled 20127,Unlabeled 20127,Unlabeled 20129,Unlabeled 20129,Unlabeled 20129,Unlabeled 20131,Unlabeled 20131,Unlabeled 20131,Unlabeled 20132,Unlabeled 20132,Unlabeled 20132,Unlabeled 20134,Unlabeled 20134,Unlabeled 20134
,ID,"987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","987EEB58CFA11EDE217D69196B4B393","14DF30","14DF30","14DF30","150850","150850","150850","15A1B68E8CFA11EDE217D69196B4B393","15A1B68E8CFA11EDE217D69196B4B393","15A1B68E8CFA11EDE217D69196B4B393","15A1B4148CFA11EDE217D69196B4B393","15A1B4148CFA11EDE217D69196B4B393","15A1B4148CFA11EDE217D69196B4B393","14F670","14F670","14F670","14F9E0","14F9E0","14F9E0","15A1B0908CFA11EDE217D69196B4B393","15A1B0908CFA11EDE217D69196B4B393","15A1B0908CFA11EDE217D69196B4B393","14FCC0","14FCC0","14FCC0","15A1B3558CFA11EDE217D69196B4B393","15A1B3558CFA11EDE217D69196B4B393","15A1B3558CFA11EDE217D69196B4B393","15A1B3568CFA11EDE217D69196B4B393","15A1B3568CFA11EDE217D69196B4B393","15A1B3568CFA11EDE217D69196B4B393","14FD40","14FD40","14FD40","1500A0","1500A0","1500A0","150310","150310","150310","150330","150330","150330","150420","150420","150420","1508F0","1508F0","1508F0","150900","150900","150900","150910","150910","150910","150920","150920","150920","150930","150930","150930","150AC0","150AC0","150AC0","150AE0","150AE0","150AE0","150B00","150B00","150B00","150B20","150B20","150B20","150B30","150B30","150B30","1508A0","1508A0","1508A0","1508D0","1508D0","1508D0","150B40","150B40","150B40","1507C0","1507C0","1507C0","150B70","150B70","150B70","150BA0","150BA0","150BA0","150BD0","150BD0","150BD0","150C00","150C00","150C00","150C10","150C10","150C10","150C30","150C30","150C30","150C20","150C20","150C20","150C50","150C50","150C50","150C80","150C80","150C80","150C70","150C70","150C70","150C90","150C90","150C90","150CC0","150CC0","150CC0","150CB0","150CB0","150CB0","150D20","150D20","150D20","150D30","150D30","150D30","150CD0","150CD0","150CD0","150B90","150B90","150B90","150D40","150D40","150D40","150D60","150D60","150D60","150D90","150D90","150D90","150DA0","150DA0","150DA0","150DD0","150DD0","150DD0","150DF0","150DF0","150DF0","150D50","150D50","150D50","150D70","150D70","150D70","150E20","150E20","150E20","150E90","150E90","150E90","150EF0","150EF0","150EF0","150EE0","150EE0","150EE0","150DC0","150DC0","150DC0","150F00","150F00","150F00","150F10","150F10","150F10","150F40","150F40","150F40","150F30","150F30","150F30","150F80","150F80","150F80","150F60","150F60","150F60","150FA0","150FA0","150FA0","150FC0","150FC0","150FC0","150FB0","150FB0","150FB0","150FE0","150FE0","150FE0","151010","151010","151010"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.271175,-0.026893,-0.101877,-0.956746,0.356060,1.081170,0.743370,0.001937,0.401937,1.183757,0.745936,0.000001,0.360969,0.855613,0.659058,0.000000,0.268774,0.836708,0.710684,0.000000,0.369661,1.200851,0.813331,0.922186,0.334969,1.074863,0.839979,0.591011,0.289448,0.927282,0.800460,0.000000,0.395718,1.062951,0.746982,0.412562,0.361769,1.376339,0.689802,0.000000,0.392929,0.929677,0.735479,0.000000,0.384424,1.363654,0.691990,0.410947,0.407469,1.184476,0.747482,0.384155,1.361478,0.692852,,,,,,,0.369530,1.200985,0.813580,0.334346,1.076195,0.840695,,,,0.396826,1.063220,0.744928,,,,,,,0.391133,0.943980,0.726304,0.246440,0.883199,0.694490,0.346312,0.900654,0.627876,0.286789,0.926906,0.774790,0.362235,1.369409,0.685878,-2.646016,0.783471,1.338231,-2.784155,0.843243,1.145177,-2.757088,0.767946,1.122483,-2.942513,0.844584,1.133151,-3.349808,0.778001,1.305123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.271006,-0.026606,-0.101827,-0.956807,0.356157,1.081232,0.743395,0.001909,0.402029,1.183820,0.746028,0.000001,0.361121,0.855710,0.658992,0.000000,0.268898,0.836780,0.710560,0.000000,0.369715,1.200885,0.813413,0.922186,0.335014,1.074884,0.839989,0.591011,0.289520,0.927318,0.800384,0.000000,0.395813,1.063013,0.747020,0.412562,0.361884,1.376423,0.689951,0.000000,0.393036,0.929743,0.735461,0.000000,0.384538,1.363739,0.692147,0.410947,0.407499,1.184533,0.747520,0.384295,1.361621,0.693004,,,,,,,0.369571,1.201011,0.813620,0.334401,1.076225,0.840733,,,,0.396893,1.063273,0.745010,,,,,,,0.391168,0.944001,0.726317,0.246466,0.883237,0.694569,0.346338,0.900656,0.627900,0.286810,0.926932,0.774792,0.362258,1.369465,0.685954,-2.646103,0.783478,1.338213,-2.783817,0.843236,1.145201,-2.757242,0.767949,1.122494,-2.941895,0.844717,1.133183,-3.349802,0.778021,1.305125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.270675,-0.027009,-0.101662,-0.956907,0.356128,1.081318,0.743427,0.001901,0.402060,1.183878,0.746088,0.000001,0.360900,0.855844,0.658887,0.000000,0.268705,0.836936,0.710512,0.000000,0.369806,1.200922,0.813507,0.929464,0.335052,1.074925,0.840034,0.587171,0.289445,0.927408,0.800375,0.000000,0.395776,1.063074,0.747013,0.425931,0.361984,1.376538,0.690156,0.000000,0.392914,0.929813,0.735376,0.000000,0.384632,1.363839,0.692327,0.425651,0.407493,1.184563,0.747537,0.384379,1.361738,0.693196,,,,,,,0.369672,1.201065,0.813701,0.334438,1.076237,0.840772,,,,0.396864,1.063321,0.745001,,,,,,,0.391158,0.944022,0.726317,0.246515,0.883270,0.694555,0.346340,0.900651,0.627904,0.286850,0.926971,0.774828,0.362269,1.369533,0.686075,-2.646236,0.783439,1.338214,-2.783861,0.843233,1.145183,-2.757242,0.767961,1.122444,-2.941730,0.844781,1.133227,-3.349884,0.777997,1.305105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.270198,-0.028019,-0.101438,-0.957036,0.355965,1.081398,0.743474,0.001890,0.402008,1.183909,0.746126,0.000001,0.360346,0.855985,0.658752,0.000000,0.268229,0.837132,0.710538,0.000000,0.369901,1.200934,0.813618,0.930933,0.335068,1.074952,0.840115,0.593350,0.289234,0.927513,0.800430,0.000000,0.395602,1.063111,0.746970,0.424826,0.362024,1.376653,0.690417,0.000000,0.392581,0.929862,0.735237,0.000000,0.384663,1.363929,0.692535,0.427953,0.407517,1.184613,0.747576,0.384432,1.361895,0.693436,,,,,,,0.369737,1.201095,0.813757,0.334495,1.076248,0.840867,,,,0.396677,1.063336,0.744949,,,,,,,0.391190,0.944052,0.726329,0.246550,0.883270,0.694568,0.346368,0.900668,0.627903,0.286877,0.926984,0.774814,0.362318,1.369596,0.686164,-2.646285,0.783460,1.338198,-2.784081,0.843227,1.145180,-2.757324,0.767960,1.122452,-2.941845,0.844730,1.133218,-3.349800,0.778032,1.305115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.270123,-0.027591,-0.101623,-0.957050,0.356136,1.081433,0.743483,0.001884,0.402117,1.183970,0.746193,0.000001,0.360706,0.856043,0.658708,0.000000,0.268564,0.837124,0.710425,0.000000,0.369952,1.200959,0.813667,0.933044,0.335173,1.074951,0.840108,0.599132,0.289452,0.927496,0.800354,0.000000,0.395780,1.063168,0.747002,0.425001,0.362061,1.376704,0.690503,0.000000,0.392844,0.929920,0.735234,0.000000,0.384706,1.363993,0.692635,0.440939,0.407546,1.184636,0.747579,0.384479,1.361963,0.693530,,,,,,,0.369795,1.201108,0.813790,0.334578,1.076271,0.840891,,,,0.396854,1.063388,0.745000,,,,,,,0.391217,0.944086,0.726333,0.246595,0.883263,0.694555,0.346420,0.900688,0.627924,0.286932,0.926995,0.774821,0.362369,1.369668,0.686256,-2.646372,0.783458,1.338217,-2.783796,0.843233,1.145191,-2.757145,0.767959,1.122489,-2.942055,0.844674,1.133174,-3.350111,0.777936,1.305110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.269702,-0.028352,-0.101412,-0.957169,0.355992,1.081503,0.743455,0.001874,0.402066,1.183998,0.746171,0.000001,0.360247,0.856169,0.658515,0.000000,0.268163,0.837293,0.710349,0.000000,0.370011,1.200968,0.813703,0.937793,0.335161,1.074971,0.840105,0.588593,0.289257,0.927583,0.800313,0.000000,0.395626,1.063202,0.746905,0.429357,0.362097,1.376806,0.690675,0.000000,0.392558,0.929965,0.735047,0.000000,0.384734,1.364074,0.692765,0.442500,0.407352,1.184700,0.747535,0.384524,1.362043,0.693665,,,,,,,0.369832,1.201116,0.813819,0.334610,1.076285,0.840875,,,,0.396654,1.063398,0.744950,,,,,,,0.391198,0.944101,0.726330,0.246612,0.883266,0.694607,0.346431,0.900694,0.627909,0.286938,0.926997,0.774846,0.362425,1.369705,0.686355,-2.646198,0.783461,1.338203,-2.784050,0.843243,1.145167,-2.757265,0.767936,1.122486,-2.941990,0.844705,1.133200,-3.349962,0.777968,1.305129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
